"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date"
226942,"Data Analyst","Mantys","Anywhere","Full-time","650000.0","2023-02-20 15:13:33"
547382,"Director of Analytics","Meta","Anywhere","Full-time","336500.0","2023-08-23 12:04:42"
552322,"Associate Director- Data Insights","AT&T","Anywhere","Full-time","255829.5","2023-06-18 16:03:12"
99305,"Data Analyst, Marketing","Pinterest Job Advertisements","Anywhere","Full-time","232423.0","2023-12-05 20:00:40"
1021647,"Data Analyst (Hybrid/Remote)","Uclahealthcareers","Anywhere","Full-time","217000.0","2023-01-17 00:17:23"
168310,"Principal Data Analyst (Remote)","SmartAsset","Anywhere","Full-time","205000.0","2023-08-09 11:00:01"
731368,"Director, Data Analyst - HYBRID","Inclusively","Anywhere","Full-time","189309.0","2023-12-07 15:00:13"
310660,"Principal Data Analyst, AV Performance Analysis","Motional","Anywhere","Full-time","189000.0","2023-01-05 00:00:25"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05"
387860,"ERM Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","184000.0","2023-06-09 08:01:04"
987523,"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","Kelly Science, Engineering, Technology & Telecom","Anywhere","Contractor","170000.0","2023-01-23 22:28:01"
1781684,"DTCC Data Analyst","Robert Half","Anywhere","Full-time","170000.0","2023-10-06 00:01:41"
1352513,"REMOTE Director of Data Analytics","A-Line Staffing Solutions","Anywhere","Full-time","170000.0","2023-08-09 14:02:45"
1525451,"Manager, Data Analyst","Uber","Anywhere","Full-time","167000.0","2023-04-18 07:01:17"
1246069,"Data Analyst","Plexus Resource Solutions","Anywhere","Full-time","165000.0","2023-12-08 09:16:37"
712473,"Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","165000.0","2023-08-14 16:01:19"
1423236,"Principal Data Science Analyst- Remote","Mayo Clinic","Anywhere","Full-time","164746.0","2023-01-13 13:04:39"
1799883,"Principal Data Science Analyst- Remote","Mayo Clinic","Anywhere","Full-time","164746.0","2023-04-14 12:05:19"
618890,"Principal Data Intelligence Analyst - Cardiac - Remote","CEDARS-SINAI","Anywhere","Full-time","163500.0","2023-09-20 13:00:44"
918213,"Senior - Data Analyst","DIRECTV","Anywhere","Full-time","160515.0","2023-06-14 21:01:17"
182813,"Principal Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","160000.0","2023-10-13 09:00:52"
783771,"SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","Robert Half","Anywhere","Full-time","160000.0","2023-01-30 02:02:22"
475626,"Principal Data Analyst","Realtime Recruitment","Anywhere","Full-time","160000.0","2023-02-02 14:16:03"
266799,"Applied Scientist - Maps","Uber","Anywhere","Full-time","157500.0","2023-10-13 07:03:27"
485388,"System Data Analyst","Edgewater Federal Solutions, Inc.","Anywhere","","157500.0","2023-07-17 18:00:47"
25761,"Data Analyst - Remote","CaptivateIQ","Anywhere","Full-time","155485.5","2023-09-01 16:41:57"
105157,"Lead Data Analyst","Motion Recruitment","Anywhere","Full-time","155000.0","2023-01-05 08:00:45"
795614,"Staff Business Data Analyst (Remote U.S. OK)","Zscaler","Anywhere","Full-time","152625.0","2023-03-11 07:01:56"
